h3_cell,lat,lng,visit_count,resolution,country
08a6482136ca7fff,18.80999756272021,98.9587552225388,4,10,Thailand
08a6482136caffff,18.810112763624495,98.95740404884188,1,10,Thailand
08a6482136cb7fff,18.811034856137514,98.9595285270138,2,10,Thailand
08a6482136ccffff,18.810458309057736,98.95335050406554,1,10,Thailand
08a6482136cdffff,18.811495626364945,98.9541237984275,1,10,Thailand
08a6482136ce7fff,18.809190639256347,98.95527957596315,3,10,Thailand
08a6482136ceffff,18.809305815095716,98.95392839689974,4,10,Thailand
08a6482136d07fff,18.805502697108093,98.95971551356953,105,10,Thailand
08a6482136d0ffff,18.80561790275743,98.95836436182934,190,10,Thailand
08a6482136d17fff,18.80654001405783,98.9604888088802,25,10,Thailand
08a6482136d1ffff,18.80665522567967,98.95913765461376,87,10,Thailand
08a6482136d27fff,18.804350160576877,98.9602933677078,10,10,Thailand
08a6482136d2ffff,18.80446536979754,98.95894222244446,42,10,Thailand
08a6482136d37fff,18.805387481914973,98.96106666135873,81,10,Thailand
08a6482136d4ffff,18.804810940198436,98.95488876295963,2,10,Thailand
08a6482136d57fff,18.805733098862746,98.9570132061396,1,10,Thailand
08a6482136d77fff,18.804580569474847,98.95759107323099,10,10,Thailand
08a6482136d87fff,18.808729840438684,98.96068425273982,1,10,Thailand
08a6482136d8ffff,18.808845054461653,98.95933308947018,1,10,Thailand
